Cover Type,Attribute Code,2013,2014,2015,2016,2017,
Corn,1,0.1136,0.1318,0.1351,0.0732,0.231,
Cotton,2,0.0626,0.0749,0.0726,0.0512,0.183,
Rice,3,0.0065,0.0065,0.0069,0.0011,0.003,
Sorghum,4,0.3116,0.5195,0.5045,0.086,0.267,
Soybeans,5,0.5,0.5,0.5,0.5,0.5,No orig any year
Sunflower,6,0.1045,0.1007,0.0734,0.0146,0.297,
Peanuts,10,0.5,0.5,0.5,0.5,0.5,No orig any year
Tobacco,11,0.5,0.5,0.5,0.5,0.5,No orig any year
Sweet Corn,12,0.7223,0.5703,0.303,0.586,0.5,No orig 2017
Pop or Orn Corn,13,100,1,0.5,0.03,0.333,"No orig 2012, 2015"
Mint,14,0.8343,0.1071,0.6121,0,1,
Barley,21,0.1874,0.1558,0.2293,0.1207,0.272,
Durum Wheat,22,0.3731,0.183,0.1941,0.1839,0.81,
Spring Wheat,23,0.1424,0.2405,0.2693,0.043,0.397,
Winter Wheat,24,0.219,0.2413,0.2613,0.1357,0.276,
Other Small Grains,25,1,0.5,0.5,0.5,0.5,"No orig 2014, 2015, 2016, 2017"
Dbl Crop WinWht/Soybeans,26,0.5,0.5,0.5,0.5,0.5,No orig any year
Rye,27,0.2287,0.4912,0.5891,0.1117,0.529,
Oats,28,0.3959,0.3044,0.3624,0.1111,0.417,
Millet,29,1,0.5,0.5,0.5,0.5,"Orig NA 2012,2015; No orig 2014, 2016, 2017"
Speltz,30,0.5,0.5,0.5,0.5,0.5,No orig any year
Canola,31,0.7077,1,1,0,0.034,
Flaxseed,32,0.5,0.5,0.5,0.5,0.5,No orig any year
Safflower,33,0.2135,0.278,0.5026,0.0269,0.195,
Rape Seed,34,0.5,0.5,0.5,0.5,0.5,No orig any year
Mustard,35,0.5,0.5,0.5,0.5,0.5,No orig any year
Alfalfa,36,0.1242,0.0927,0.0919,0.0666,0.125,
Other Hay/Non Alfalfa,37,0.2759,0.1757,0.2469,0.0766,0.345,
Camelina,38,1,0.5,0.5,0.5,0.5,"No Orig 2014, 2015, 2016, 2017"
Buckwheat,39,0.5,0.5,0.5,0.5,0.5,No orig any year
Sugarbeets,41,0.5276,0.1959,0.1254,0.1512,0.14,
Dry Beans,42,0.1721,0.1531,0.2451,0.1023,0.498,
Potatoes,43,0.1244,0.2067,0.2719,0.1625,0.348,
Other Crops,44,0.1895,0.0732,0.1625,0.1138,0.116,
Sugarcane,45,0.5,1,0.5,1,0.5,"Orig NA 2012, 2013, 2015. No Orig  2017"
Sweet Potatoes,46,0.2143,1,0.2222,0.0096,0.213,
Misc Vegs & Fruits,47,0.5303,0.2129,0.2188,0.1538,1,
Watermelons,48,0.7447,0.4476,0.6654,0.3291,0.415,
Onions,49,0.204,0.1466,0.1953,0.1406,0.286,
Cucumbers,50,0.7037,1,0.3927,0.0108,0.322,
Chickpeas,51,0.5,0.5,0.5,0.5,0.5,No orig any year
Lentils,52,0.5,0.5,0.5,0.5,0.5,No orig any year
Peas,53,0.4491,0.3184,0.1709,0.1505,1,
Tomatoes,54,0.1196,0.1225,0.0884,0.0511,0.276,
Caneberries,55,1,1,0.5,0.5,0.5,"No orig 2012, 2015, 2016, 2017"
Hops,56,0.5,0.5,0.5,0.5,0.5,No orig any year
Herbs,57,0.5966,0.2283,0.2913,0.1407,0.694,
Clover/Wildflowers,58,0.1208,0.0897,0.0769,0.0259,0.085,
Sod/Grass Seed,59,0.3078,0.2834,0.4347,0.0291,0.347,
Switchgrass,60,0.5,0.5,0.5,0.5,0.5,No orig any year
Fallow/Idle Cropland,61,0.3074,0.2063,0.2953,0.2092,0.195,
Cherries,66,0.3665,0.4566,0.2837,0.1066,0.767,
Peaches,67,0.1885,0.4502,0.8429,0.2327,0.57,
Apples,68,0.058,0.0802,0.2053,0.6154,1,
Grapes,69,0.1185,0.1363,0.0967,0.0773,0.047,
Other Tree Crops,71,0.2125,0.1003,0.0608,0.0781,0.344,
Citrus,72,0.5278,0.0906,0.1046,0.1554,0.051,
Pecans,74,0.4693,0.5977,0.2609,0,0,
Almonds,75,0.0917,0.0927,0.1034,0.0743,0.008,
Walnuts,76,0.1768,0.1583,21.03,0.0918,0.33,
Pears,77,0.134,0.1107,0.2568,0.0909,0.159,
Grassland/Pasture,176,0.5,0.5,0.5,0.5,0.5,
Pasture/Hay,181,0.5,0.5,0.5,0.5,0.5,
Pistachios,204,0.1469,0.1472,0.1058,0.101,0.247,
Triticale,205,0.2205,0.2525,0.3024,0.138,0.39,
Carrots,206,0.414,0.2743,0.1916,0.2361,0.422,
Asparagus,207,0.277,0.5182,1,0.0317,0.5,No Orig 2017
Garlic,208,0.0188,0.0331,0.1358,0.0704,0.095,
Cantaloupes,209,0.476,0.389,0.3714,0.231,0.51,
Prunes,210,0.5,0.5,0.5,0.5,0.5,No orig any year
Olives,211,0.1229,0.1143,0.1788,0.0656,0.348,
Oranges,212,0.1671,0.1865,0.2391,0.1648,0.363,
Honeydew Melons,213,0.2776,0.3821,0.236,0.1225,0.452,
Broccoli,214,0.6469,0.4882,1,0.7733,0.885,
Avocados,215,0.5,0.5,0.5,0.5,0.5,
Peppers,216,0.4052,0.3708,0.2884,0.2218,0.32,
Pomegranates,217,0.1595,0.1676,0.3176,0.1053,0.205,
Nectarines,218,0.3182,0.3176,0.96,0.0192,0.514,
Greens,219,0.6589,0.4134,0.3054,0.5213,0.869,
Plums,220,0.1872,0.216,0.2395,0.087,0.475,
Strawberries,221,0.2538,0.4344,0.1313,0.1429,0.4,
Squash,222,1,0.5826,0.7647,0.0251,0.95,
Apricots,223,0.1244,0.4831,0.5,0.5,0.5,"No Orig 2015, 2016, 2017"
Vetch,224,0.5679,0.9103,1,0,0.437,
Dbl Crop WinWht/Corn,225,0.2507,0.2527,0.2616,0.1617,0.228,
Dbl Crop Oats/Corn,226,0.4046,0.271,0.349,0.1169,0.392,
Lettuce,227,0.622,0.5806,0.5343,0.4911,0.549,
Dbl Crop Triticale/Corn,228,0.5,0.5,0.5,0.5,0.5,
Pumpkins,229,0.7737,0.3632,0.34,0.0202,1,
Dbl Crop Lettuce/Durum Wht,230,0.7933,0.9391,0.5,0.5,0.5,"No Orig 2015, 2016, 2017"
Dbl Crop Lettuce/Cantaloupe,231,1,1,0.5,0.5,1,"No Orig 2015, 2016"
Dbl Crop Lettuce/Cotton,232,0.5,0,0.5,0.5,0.267,"No orig 2013, 2015, 2016"
