Year,Crop,CDL_m2,Comm_m2,CDL_Acres,Comm_Acres,CoA_Data_Item(s),CoA_Acres,CV%,SD,LL,UL,Notes,Within_90_CI?,State_Adj_Ratio,Ratio_Greater_Than_1?,Omission-Adjustment,Adjustment_Code
2013,1,50675400,50057208.15,12522.14472,12369.38642,"CORN, GRAIN - ACRES HARVESTED; CORN, SILAGE - ACRES HARVESTED","24,370",4.941041388,1204.131786,22389.20321,26350.79679,,N,1.97018665,Y,Omisison-adjustment raster from NLCD,3
2013,2,9245700,9212012.976,2284.658699,2276.334466,COTTON - ACRES HARVESTED,"2,091",5.7,119.187,1894.937385,2287.062615,,Y,0.918582058,N,NA,1
2013,3,39600,38019.98738,9.785358,9.394928981,RICE - ACRES HARVESTED,NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,4,442800,442147.5384,109.418094,109.2568675,"SORGHUM, SILAGE - ACRES HARVESTED",NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,5,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,6,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,7,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,8,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,9,119700,110338.3147,29.5784685,27.26514925,SWEET CORN - ACRES HARVESTED,NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,10,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,11,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,12,449100,422664.8913,110.9748555,104.442608,BARLEY - ACRES HARVESTED,614,33,202.62,280.6901,947.3099,,N,5.878826773,Y,Omisison-adjustment raster from NLCD,3
2013,13,50400,50400,12.454092,12.454092,"WHEAT, SPRING, DURUM - ACRES HARVESTED",201,6.3,12.663,180.169365,221.830635,,N,16.13927374,Y,Omisison-adjustment raster from NLCD,3
2013,14,386100,382026.6738,95.4072405,94.40070123,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",590,30.1,177.59,297.86445,882.13555,,N,6.249953573,Y,Omisison-adjustment raster from NLCD,3
2013,15,63814500,62783148.22,15768.88202,15514.02984,"WHEAT, WINTER - ACRES HARVESTED","2,818",13.3,374.794,2201.46387,3434.53613,,N,0.181642038,N,Multiply probability by state adjustment ratio,2
2013,16,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,17,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,18,24899400,20538443.94,6152.766237,5075.15219,OATS - ACRES HARVESTED,993,9.3,92.349,841.085895,1144.914105,,N,0.195659157,N,Multiply probability by state adjustment ratio,2
2013,19,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,20,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,21,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,22,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,23,14400,13207.0376,3.558312,3.263525027,SAFFLOWER - ACRES HARVESTED,NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,24,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,25,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,26,120604500,91784488.64,29801.97497,22680.40607,"HAY, ALFALFA - ACRES HARVESTED; HAYLAGE, ALFALFA - ACRES HARVESTED; LEGUMES, ALFALFA, SEED - ACRES HARVESTED",NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,27,1305291600,773378086.6,322544.0808,191105.5921,"HAY, SMALL GRAIN - ACRES HARVESTED; HAY, TAME, (EXCL ALFALFA & SMALL GRAIN) - ACRES HARVESTED; HAYLAGE, (EXCL ALFALFA) - ACRES HARVESTED","15,929",7.766293524,1237.092895,13893.98219,17964.01781,,N,0.083351826,N,Multiply probability by state adjustment ratio,2
2013,28,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,29,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,30,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,31,139500,138504.573,34.4711475,34.22517251,"BEANS, DRY EDIBLE, (EXCL LIMA), INCL CHICKPEAS - ACRES HARVESTED",330,23.4,77.22,202.9731,457.0269,,N,9.642025908,Y,Omisison-adjustment raster from NLCD,3
2013,32,0,0,0,0,POTATOES - ACRES HARVESTED,NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,4
2013,33,229500,202216.5279,56.7105975,49.96871512,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,34,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,35,285300,283606.8313,70.4990565,70.08066604,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,36,0,0,0,0,"ARTICHOKES - ACRES HARVESTED;  BEANS, SNAP - ACRES HARVESTED; BEETS - ACRES HARVESTED; BRUSSELS SPROUTS - ACRES HARVESTED; DAIKON - ACRES HARVESTED; ESCAROLE & ENDIVE - ACRES HARVESTED; OKRA - ACRES HARVESTED; PARSLEY - ACRES HARVESTED; SPINACH - ACRES HARVESTED; VEGETABLES, OTHER - ACRES HARVESTED",NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,4
2013,37,9900,8114.237204,2.4463395,2.005068584,"MELONS, WATERMELON - ACRES HARVESTED",16,29.8,4.768,8.15664,23.84336,,N,7.979776914,Y,Omisison-adjustment raster from NLCD,3
2013,38,404100,400912.7534,99.8551305,99.06754592,"ONIONS, DRY - ACRES HARVESTED",NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,39,0,0,0,0,CUCUMBERS - ACRES HARVESTED,4,60.3,2.412,0.03226,7.96774,,NA,NA,NA,NA,4
2013,40,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,41,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
