Year,Crop,CDL_m2,Comm_m2,CDL_Acres,Comm_Acres,CoA_Data_Item(s),CoA_Acres,CV%,SD,LL,UL,Notes,Within_90_CI?,State_Adj_Ratio,Ratio_Greater_Than_1?,Omission-Adjustment,Adjustment_Code
2013,1,305237700,303324969.8,75425.76186,74953.11667,"CORN, GRAIN - ACRES HARVESTED; CORN, SILAGE - ACRES HARVESTED",111435,4.485499413,4998.41627,103212.6052,119657.3948,,N,1.486729371,Y,Omisison-adjustment raster from NLCD,3
2013,2,164243700,163682902.1,40585.43949,40446.86353,COTTON - ACRES HARVESTED,48522,5.7,2765.754,43972.33467,53071.66533,,N,1.199648026,Y,Omisison-adjustment raster from NLCD,3
2013,3,10602000,10567392.78,2619.80721,2611.255594,RICE - ACRES HARVESTED,3462,10.2,353.124,2881.11102,4042.88898,,N,1.325798979,Y,Omisison-adjustment raster from NLCD,3
2013,4,412200,411532.4001,101.856681,101.6917137,"SORGHUM, SILAGE - ACRES HARVESTED",4136,14.6,603.856,3142.65688,5129.34312,,N,40.67194709,Y,Omisison-adjustment raster from NLCD,3
2013,5,900,900,0.2223945,0.2223945,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,6,900,900,0.2223945,0.2223945,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,7,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,8,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,9,538200,517710.6033,132.991911,127.9288786,SWEET CORN - ACRES HARVESTED,2092,11.9,248.948,1682.48054,2501.51946,,N,16.35283622,Y,Omisison-adjustment raster from NLCD,3
2013,10,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,11,0,0,0,0,"MINT, TEA LEAVES - ACRES HARVESTED",5,1.4,0.07,4.88485,5.11515,,NA,NA,NA,NA,4
2013,12,8885700,8693068.647,2195.700899,2148.100728,BARLEY - ACRES HARVESTED,3561,33,1175.13,1627.91115,5494.08885,,Y,1.657743491,Y,NA,1
2013,13,1346400,1342196.097,332.702172,331.6633665,"WHEAT, SPRING, DURUM - ACRES HARVESTED",4100,6.3,258.3,3675.0965,4524.9035,,N,12.36193205,Y,Omisison-adjustment raster from NLCD,3
2013,14,90900,88276.61593,22.4618445,21.81359318,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",549,30.1,165.249,277.165395,820.834605,,N,25.1677931,Y,Omisison-adjustment raster from NLCD,3
2013,15,200028600,189251773.6,49428.0672,46765.05952,"WHEAT, WINTER - ACRES HARVESTED",19239,13.3,2558.787,15029.79539,23448.20462,,N,0.411396889,N,Multiply probability by state adjustment ratio,2
2013,16,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,17,20700,20700,5.1150735,5.1150735,RYE - ACRES HARVESTED,227,5.5,12.485,206.462175,247.537825,,N,44.37863894,Y,Omisison-adjustment raster from NLCD,3
2013,18,87240600,80901107.22,21557.58846,19991.0681,OATS - ACRES HARVESTED,6511,9.3,605.523,5514.914665,7507.085335,,N,0.325695454,N,Multiply probability by state adjustment ratio,2
2013,19,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,20,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
