Year,Crop,CDL_m2,Comm_m2,CDL_Acres,Comm_Acres,CoA_Data_Item(s),CoA_Acres,CV%,SD,LL,UL,Notes,Within_90_CI?,State_Adj_Ratio,Ratio_Greater_Than_1?,Omission-Adjustment,Adjustment_Code
2013,1,139860900,138559867.9,34560.32769,34239,"CORN, GRAIN - ACRES HARVESTED; CORN, SILAGE - ACRES HARVESTED",21808,2.690040574,586.6440483,20842.97054,22773.02946,,N,0.636937538,N,Multiply probability by state adjustment ratio,2
2013,2,6300,6300,1.5567615,2,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,3,28872900,28844257.62,7134.637955,7128,RICE - ACRES HARVESTED,2040,10.2,208.08,1697.7084,2382.2916,,N,0.286212942,N,Multiply probability by state adjustment ratio,2
2013,4,218700,216645.9855,54.0418635,54,"SORGHUM, GRAIN - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,5,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,6,2734200,2703706.058,675.634491,668,SUNFLOWER - ACRES HARVESTED,1350,18.2,245.7,945.8235,1754.1765,,N,2.020657752,Y,Omisison-adjustment raster from NLCD,3
2013,7,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,8,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,9,4500,2802.81669,1.1119725,1,SWEET CORN - ACRES HARVESTED,647,11.9,76.993,520.346515,773.653485,,N,934.1745953,Y,Omisison-adjustment raster from NLCD,3
2013,10,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,11,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,12,228600,199202.3124,56.488203,49,BARLEY - ACRES HARVESTED,700,33,231,320.005,1079.995,,N,14.22073788,Y,Omisison-adjustment raster from NLCD,3
2013,13,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,14,9000,8210.566118,2.223945,2,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,15,31443300,28417712.96,7769.796647,7022,"WHEAT, WINTER - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,16,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,17,273600,255071.2111,67.607928,63,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,18,10354500,9151374.611,2558.648723,2261,OATS - ACRES HARVESTED,NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,19,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,20,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,21,5400,5400,1.334367,1,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,22,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,23,8968500,8838613.114,2216.161193,2184,SAFFLOWER - ACRES HARVESTED,1348,5.5,74.14,1226.0397,1469.9603,,N,0.617197609,N,Multiply probability by state adjustment ratio,2
2013,24,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,25,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,26,85866300,65399558.31,21217.99206,16161,"HAY, ALFALFA - ACRES HARVESTED; HAYLAGE, ALFALFA - ACRES HARVESTED; LEGUMES, ALFALFA, SEED - ACRES HARVESTED",9825,9.466031106,930.0375561,8295.08822,11354.91178,,N,0.607961686,N,Multiply probability by state adjustment ratio,2
2013,27,922540500,575188096.5,227964.3703,142132,"HAY, SMALL GRAIN - ACRES HARVESTED; HAY, TAME, (EXCL ALFALFA & SMALL GRAIN) - ACRES HARVESTED; HAY, WILD - ACRES HARVESTED; HAYLAGE, (EXCL ALFALFA) - ACRES HARVESTED",18575,9.890760877,1837.208833,15552.79147,21597.20853,,N,0.130688508,N,Multiply probability by state adjustment ratio,2
2013,28,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,29,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,30,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,31,529200,526613.3858,130.767966,130,"BEANS, DRY EDIBLE, (EXCL LIMA), INCL CHICKPEAS - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,32,47700,47200.84858,11.7869085,12,POTATOES - ACRES HARVESTED,5,13.5,0.675,3.889625,6.110375,,N,0.428685372,N,Multiply probability by state adjustment ratio,2
2013,33,612900,548344.7541,151.4506545,135,"FIELD CROPS, OTHER - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,34,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,35,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,36,0,0,0,0,"ARTICHOKES - ACRES HARVESTED; BEANS, GREEN, LIMA - ACRES HARVESTED; BEANS, SNAP - ACRES HARVESTED; BEETS - ACRES HARVESTED; BRUSSELS SPROUTS - ACRES HARVESTED; OKRA - ACRES HARVESTED; PARSLEY - ACRES HARVESTED; SPINACH - ACRES HARVESTED; VEGETABLE SEEDS, IN THE OPEN - ACRES IN PRODUCTION; VEGETABLES, OTHER - ACRES HARVESTED; WATERCRESS - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,4
2013,37,0,0,0,0,"MELONS, WATERMELON - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,4
2013,38,135900,130012.3877,33.5815695,32,"ONIONS, DRY - ACRES HARVESTED; ONIONS, GREEN - ACRES HARVESTED",54,13.90281968,7.507522627,41.65012528,66.34987472,,N,1.680844326,Y,Omisison-adjustment raster from NLCD,3
2013,39,47700,42580.96286,11.7869085,11,CUCUMBERS - ACRES HARVESTED,30,60.3,18.09,0.24195,59.75805,,Y,2.851177426,Y,NA,1
2013,40,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,41,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,42,168300,164689.0545,41.5877715,41,"PEAS, CHINESE (SUGAR & SNOW) - ACRES HARVESTED",18,18.4,3.312,12.55176,23.44824,,N,0.442309468,N,Multiply probability by state adjustment ratio,2
2013,43,11284200,11202580.8,2788.382241,2768,"TOMATOES, IN THE OPEN - ACRES HARVESTED",2056,7.8,160.368,1792.19464,2319.80536,,N,0.742717218,N,Multiply probability by state adjustment ratio,2
2013,44,0,0,0,0,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN; LOGANBERRIES - ACRES GROWN",NA,NA,NA,NA,NA,,NA,NA,NA,NA,4
2013,45,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,46,0,0,0,0,"HERBS, FRESH CUT - ACRES HARVESTED",4,17.2,0.688,2.86824,5.13176,,NA,NA,NA,NA,4
2013,47,33450300,30973585.74,8265.736382,7654,"LEGUMES, CLOVER, LADINO, SEED - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,48,9847800,9598071.712,2433.440619,2372,"GRASSES, SUDANGRASS, SEED - ACRES HARVESTED; SOD - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,49,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,50,131542200,110804297.6,32504.73533,27380,"AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), CULTIVATED SUMMER FALLOW - ACRES; AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), IDLE - ACRES",5913,10.32164083,610.3186225,4909.025866,6916.974134,,N,0.215958221,N,Multiply probability by state adjustment ratio,2
