Year,Crop,CDL_m2,Comm_m2,CDL_Acres,Comm_Acres,CoA_Data_Item(s),CoA_Acres,CV%,SD,LL,UL,Notes,Within_90_CI?,State_Adj_Ratio,Ratio_Greater_Than_1?,Omission-Adjustment,Adjustment_Code
2013,1,146631600,145472555.2,36233.40152,35946.99576,"CORN, GRAIN - ACRES HARVESTED; CORN, SILAGE - ACRES HARVESTED",66705,5.007641259,3340.347102,61210.12902,72199.87098,,N,1.855648813,Y,Omisison-adjustment raster from NLCD,3
2013,2,8246700,8179012.094,2037.800804,2021.074783,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,3,3303000,3298152.927,816.187815,814.990079,RICE - ACRES HARVESTED,219,10.2,22.338,182.25399,255.74601,,N,0.268714927,N,Multiply probability by state adjustment ratio,2
2013,4,1786500,1768764.501,441.4530825,437.0705521,"SORGHUM, GRAIN - ACRES HARVESTED; SORGHUM, SILAGE - ACRES HARVESTED",4110,15.29946983,628.8082099,3075.610495,5144.389505,,N,9.40351616,Y,Omisison-adjustment raster from NLCD,3
2013,5,45000,45000,11.119725,11.119725,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,6,3600,3600,0.889578,0.889578,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,7,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,8,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,9,1763100,1705907.387,435.6708255,421.5382449,SWEET CORN - ACRES HARVESTED,NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,10,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,11,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,12,1011600,995130.4838,249.971418,245.9017182,BARLEY - ACRES HARVESTED,415,33,136.95,189.71725,640.28275,,Y,1.687666126,Y,NA,1
2013,13,225900,223096.8055,55.8210195,55.12833612,"WHEAT, SPRING, DURUM - ACRES HARVESTED",505,6.3,31.815,452.664325,557.335675,,N,9.16044335,Y,Omisison-adjustment raster from NLCD,3
2013,14,1534500,1492130.127,379.1826225,368.7128151,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",270,30.1,81.27,136.31085,403.68915,,Y,0.732277233,N,NA,1
2013,15,47431800,45848866.56,11720.63494,11329.48417,"WHEAT, WINTER - ACRES HARVESTED",3741,13.3,497.553,2922.525315,4559.474685,,N,0.330200382,N,Multiply probability by state adjustment ratio,2
2013,16,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,17,4839300,4814762.57,1195.815227,1189.751905,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,18,45406800,43571547.86,11220.24731,10766.74733,OATS - ACRES HARVESTED,4385,9.3,407.805,3714.160775,5055.839225,,N,0.40727249,N,Multiply probability by state adjustment ratio,2
2013,19,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,20,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,21,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,22,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,23,2229300,2203085.462,550.8711765,544.393433,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,24,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,25,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,26,174618000,132695242.4,43148.98089,32789.65787,"HAY, ALFALFA - ACRES HARVESTED; HAYLAGE, ALFALFA - ACRES HARVESTED",27167,8.847930112,2403.717174,23212.88525,31121.11475,,N,0.828523436,N,Multiply probability by state adjustment ratio,2
2013,27,1437957000,913163272.5,355326.3645,225647.2104,"HAY, SMALL GRAIN - ACRES HARVESTED; HAY, TAME, (EXCL ALFALFA & SMALL GRAIN) - ACRES HARVESTED; HAY, WILD - ACRES HARVESTED; HAYLAGE, (EXCL ALFALFA) - ACRES HARVESTED",52010,8.050751648,4187.195932,45122.06269,58897.93731,,N,0.230492546,N,Multiply probability by state adjustment ratio,2
2013,28,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,29,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,30,900,900,0.2223945,0.2223945,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,31,10201500,10161616.67,2520.841658,2510.986288,"BEANS, DRY EDIBLE, (EXCL LIMA), INCL CHICKPEAS - ACRES HARVESTED; BEANS, DRY EDIBLE, LIMA - ACRES HARVESTED",8273,43.18126071,3572.385698,2396.425526,14149.57447,,Y,3.294721297,Y,NA,1
2013,32,0,0,0,0,POTATOES - ACRES HARVESTED,22,13.5,2.97,17.11435,26.88565,,NA,NA,NA,NA,4
2013,33,576000,543907.4574,142.33248,134.4022523,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,34,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,35,1714500,1703386.666,423.6615225,420.9153622,SWEET POTATOES - ACRES HARVESTED,1207,10.7,129.149,994.549895,1419.450105,,N,2.867559867,Y,Omisison-adjustment raster from NLCD,3
2013,36,1800,1800,0.444789,0.444789,"BEANS, GREEN, LIMA - ACRES HARVESTED; BEANS, SNAP - ACRES HARVESTED; BEETS - ACRES HARVESTED; BRUSSELS SPROUTS - ACRES HARVESTED; DAIKON - ACRES HARVESTED; OKRA - ACRES HARVESTED; PARSLEY - ACRES HARVESTED; SPINACH - ACRES HARVESTED; VEGETABLE SEEDS, IN THE OPEN - ACRES IN PRODUCTION; VEGETABLES, OTHER - ACRES HARVESTED",NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,37,295200,283196.764,72.945396,69.97933636,"MELONS, WATERMELON - ACRES HARVESTED",NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,38,72000,67599.45229,17.79156,16.70416266,"ONIONS, DRY - ACRES HARVESTED; ONIONS, GREEN - ACRES HARVESTED",7,10.97979592,0.768585714,5.7356765,8.2643235,,N,0.419057222,N,Multiply probability by state adjustment ratio,2
2013,39,900,900,0.2223945,0.2223945,CUCUMBERS - ACRES HARVESTED,6,60.3,3.618,0.04839,11.95161,,Y,26.97908446,Y,NA,1
2013,40,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,41,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,42,1184400,1168324.445,292.671162,288.698812,"PEAS, GREEN, (EXCL SOUTHERN) - ACRES HARVESTED; PEAS, GREEN, SOUTHERN (COWPEAS) - ACRES HARVESTED",NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,43,63234900,62562234.08,15625.65996,15459.44085,"TOMATOES, IN THE OPEN - ACRES HARVESTED",9814,7.8,765.492,8554.76566,11073.23434,,N,0.634822442,N,Multiply probability by state adjustment ratio,2
2013,44,0,0,0,0,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES GROWN; BOYSENBERRIES - ACRES GROWN",NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,4
2013,45,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,46,200700,199886.6569,49.5939735,49.39299235,"HERBS, DRY - ACRES HARVESTED; HERBS, FRESH CUT - ACRES HARVESTED",NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,47,37713600,36340484.22,9319.219128,8979.915353,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,48,292500,286817.5879,72.2782125,70.87406005,"GRASSES, BERMUDA GRASS, SEED - ACRES HARVESTED; GRASSES, SUDANGRASS, SEED - ACRES HARVESTED; SOD - ACRES HARVESTED",NA,NA,NA,NA,NA,,NA,NA,NA,NA,6
2013,49,0,0,0,0,,0,0,0,0,0,,NA,NA,NA,NA,4
2013,50,45045900,38292875.01,11131.06712,9462.360879,"AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), CULTIVATED SUMMER FALLOW - ACRES; AG LAND, CROPLAND, (EXCL HARVESTED & PASTURED), IDLE - ACRES",7759,10.4816925,813.2745211,6421.163413,9096.836587,,N,0.819985636,N,Multiply probability by state adjustment ratio,2
2013,51,7445700,7138471.041,1839.869699,1763.951887,"CHERRIES, SWEET - ACRES BEARING & NON-BEARING",2320,21.9,508.08,1484.2084,3155.7916,,Y,1.315228617,Y,NA,1
2013,52,4433400,4390138.654,1095.515307,1084.825212,PEACHES - ACRES BEARING & NON-BEARING,3898,6.9,268.962,3455.55751,4340.44249,,N,3.593205575,Y,Omisison-adjustment raster from NLCD,3
2013,53,900,900,0.2223945,0.2223945,APPLES - ACRES BEARING & NON-BEARING,700,31.4,219.8,338.429,1061.571,,N,3147.559854,Y,Omisison-adjustment raster from NLCD,3
2013,54,33862500,33014985.95,8367.593063,8158.168104,GRAPES - ACRES BEARING & NON-BEARING,6640,6.5,431.6,5930.018,7349.982,,N,0.81390821,N,Multiply probability by state adjustment ratio,2
2013,55,42300,28839.26618,10.4525415,7.126326869,"CHESTNUTS - ACRES BEARING & NON-BEARING; DATES - ACRES BEARING & NON-BEARING; FIGS - ACRES BEARING & NON-BEARING; HAZELNUTS - ACRES BEARING & NON-BEARING; KIWIFRUIT - ACRES BEARING & NON-BEARING; NON-CITRUS, OTHER, (EXCL BERRIES) - ACRES BEARING & NON-BEARING; PERSIMMONS - ACRES BEARING & NON-BEARING; TREE NUTS, OTHER - ACRES BEARING & NON-BEARING",NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,56,0,0,0,0,"CITRUS, OTHER - ACRES BEARING & NON-BEARING; LEMONS - ACRES BEARING & NON-BEARING; LIMES - ACRES BEARING & NON-BEARING; TANGELOS - ACRES BEARING & NON-BEARING; TANGERINES - ACRES BEARING & NON-BEARING",NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,4
2013,57,2700,2700,0.6671835,0.6671835,PECANS - ACRES BEARING & NON-BEARING,95,26.3,24.985,53.899675,136.100325,,N,142.3896125,Y,Omisison-adjustment raster from NLCD,3
2013,58,610817400,592485718.1,150936.0336,146406.1834,ALMONDS - ACRES BEARING & NON-BEARING,138162,6,8289.72,124525.4106,151798.5894,,Y,0.94368965,N,NA,1
2013,59,105570900,102993856.5,26087.09724,25450.29692,"WALNUTS, ENGLISH - ACRES BEARING & NON-BEARING",28051,9.9,2777.049,23482.7544,32619.24561,,Y,1.102187534,Y,NA,1
2013,60,7200,7200,1.779156,1.779156,PEARS - ACRES BEARING & NON-BEARING,NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,61,2556900,2239396.061,631.8227745,553.3659637,PISTACHIOS - ACRES BEARING & NON-BEARING,NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,62,3606300,3397951.995,891.1347615,839.6509278,TRITICALE - ACRES HARVESTED,NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,63,150300,145710.7843,37.1398815,36.00586335,CARROTS - ACRES HARVESTED,NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,64,266400,263022.7797,65.828772,64.99424398,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,65,900,900,0.2223945,0.2223945,GARLIC - ACRES HARVESTED,1,24.4,0.244,0.59862,1.40138,,N,4.496514077,Y,Omisison-adjustment raster from NLCD,3
2013,66,481500,476631.9805,118.9810575,117.7781455,"MELONS, CANTALOUP - ACRES HARVESTED",896,11.6,103.936,725.02528,1066.97472,,N,7.607523415,Y,Omisison-adjustment raster from NLCD,3
2013,67,0,0,0,0,PRUNES - ACRES BEARING & NON-BEARING,NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,4
2013,68,2984400,2923812.419,737.460162,722.4886677,OLIVES - ACRES BEARING & NON-BEARING,153,20.5,31.365,101.404575,204.595425,,N,0.211768027,N,Multiply probability by state adjustment ratio,2
2013,69,26100,24448.30994,6.4494405,6.041299628,ORANGES - ACRES BEARING & NON-BEARING,NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,6
2013,70,181800,180313.0826,44.923689,44.55626428,,0,0,0,0,0,,N,0,N,Multiply probability by state adjustment ratio,2
2013,71,0,0,0,0,BROCCOLI - ACRES HARVESTED,NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,4
2013,72,0,0,0,0,AVOCADOS - ACRES BEARING & NON-BEARING,NA,NA,NA,NA,NA,"(D), acreage withheld",NA,NA,NA,NA,4
2013,73,5400,4565.750798,1.334367,1.128219851,"PEPPERS, BELL - ACRES HARVESTED; PEPPERS, CHILE - ACRES HARVESTED",NA,NA,NA,NA,NA,(H),NA,NA,NA,NA,6
2013,74,1111500,1050177.169,274.6572075,259.5040293,POMEGRANATES - ACRES BEARING & NON-BEARING,55,3.6,1.98,51.7429,58.2571,,N,0.211942759,N,Multiply probability by state adjustment ratio,2
